"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","93314","69870","59276","1627266","617656","75855085","0.37956670882326554","122.81","46.62","4.04"
"2024-02-01","91026","60350","54931","1256072","714628","88703202","0.5689387232579024","124.13","70.62","3.87"
"2024-03-01","97036","73502","70142","1592952","995035","137435877","0.6246484514285428","138.12","86.28","3.83"
"2024-04-01","102259","80733","74370","1871146","1137946","170100784","0.608154574789995","149.48","90.91","3.82"
"2024-05-01","106247","89222","86158","2116060","1423127","230763375","0.6725362229804448","162.15","109.05","3.66"
"2024-06-01","109648","98193","94265","2338043","1592069","287793877","0.6809408552366231","180.77","123.09","3.83"
"2024-07-01","112772","103929","101529","2517312","1908983","377531498","0.7583418344646988","197.77","149.97","4.17"
"2024-08-01","113555","106445","104747","2563022","2169828","441176814","0.8465896898270869","203.32","172.13","4.18"
"2024-09-01","112251","105290","96813","2523417","1741550","308445441","0.6901554519130211","177.11","122.23","3.84"
"2024-10-01","107754","95216","85348","2294116","1398751","222332236","0.609712412101219","158.95","96.91","3.7"
"2024-11-01","104467","83337","67211","1875932","871208","115351041","0.4644134222349211","132.4","61.49","3.63"
"2024-12-01","99773","78634","72316","1613749","829301","113532980","0.5138971426163549","136.9","70.35","3.67"
