"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","3211","1972","1756","44755","16146","1064080","0.36076416042900233","65.9","23.78","3.72"
"2024-02-01","3381","1980","1666","41601","13344","767245","0.3207615201557655","57.5","18.44","3.28"
"2024-03-01","3493","2138","1775","40312","15821","935129","0.3924637824965271","59.11","23.2","3.74"
"2024-04-01","3455","1870","1267","42561","11118","496530","0.2612250652005357","44.66","11.67","3.82"
"2024-05-01","3376","1528","1347","33158","13524","621226","0.4078653718559624","45.94","18.74","3.57"
"2024-06-01","3510","1675","1491","35103","16041","736945","0.4569694897871977","45.94","20.99","3.65"
"2024-07-01","3595","1840","1634","39043","19145","892374","0.49035678610762495","46.61","22.86","3.61"
"2024-08-01","3726","1964","1707","40938","17000","797251","0.4152621036689628","46.9","19.47","3.49"
"2024-09-01","3847","2252","2022","42415","18738","964480","0.44177767299304493","51.47","22.74","3.42"
"2024-10-01","3975","2341","1845","52464","19879","929929","0.3789074412930772","46.78","17.73","3.44"
"2024-11-01","4597","3284","3178","58431","28599","1596658","0.48944909380294704","55.83","27.33","3.02"
"2024-12-01","4664","3636","2689","75323","24679","1494705","0.3276422872163881","60.57","19.84","3.22"
