"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","11478","8685","7825","218527","66725","4614949","0.3053398435891217","69.16","21.12","3.3"
"2024-02-01","11456","7211","6217","148799","57410","3710763","0.3858224853661651","64.64","24.94","3.14"
"2024-03-01","11705","7276","6220","161118","64248","4203083","0.39876363907198453","65.42","26.09","3.14"
"2024-04-01","11759","7434","6798","154135","70221","4591562","0.4555811463976384","65.39","29.79","3.16"
"2024-05-01","12561","9591","9391","211653","107744","7538922","0.5090596400712487","69.97","35.62","2.92"
"2024-06-01","12721","9487","7844","215884","92857","6464504","0.4301245113116303","69.62","29.94","3.01"
"2024-07-01","12917","9236","8617","212466","107290","7750793","0.5049749136332401","72.24","36.48","3.11"
"2024-08-01","13144","9542","8665","217750","112472","7930770","0.5165189437428244","70.51","36.42","2.93"
"2024-09-01","13134","9398","7892","203995","94138","6360551","0.46147209490428687","67.57","31.18","3.03"
"2024-10-01","12881","8526","7485","190910","89937","5865920","0.4710963281127233","65.22","30.73","2.97"
"2024-11-01","12701","8155","7401","185975","80575","5190561","0.4332571582201909","64.42","27.91","2.85"
"2024-12-01","13348","10486","9983","192522","92083","6237453","0.47829858405792586","67.74","32.4","3.05"
