"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","37225","22471","18134","491380","168950","22978561","0.34382758761040333","136.01","46.76","4.19"
"2024-02-01","38127","20049","17514","374676","187162","25682258","0.49953026081200824","137.22","68.55","4.02"
"2024-03-01","38944","23429","20958","452218","213139","29282300","0.4713191425374488","137.39","64.75","3.97"
"2024-04-01","42102","25250","21273","521683","196477","26548126","0.3766214348560333","135.12","50.89","3.94"
"2024-05-01","48620","35229","32641","691156","334432","49490524","0.4838733947184138","147.98","71.61","3.77"
"2024-06-01","54741","44218","40008","865734","471335","70346311","0.5444339716356295","149.25","81.26","3.97"
"2024-07-01","58011","50028","47533","1082765","765788","114933372","0.7072522661888776","150.09","106.15","4.27"
"2024-08-01","58946","51657","46574","1114972","628869","92849784","0.5640222355359596","147.65","83.28","4.02"
"2024-09-01","51597","39758","28712","828127","313614","42464132","0.3787027835102587","135.4","51.28","3.88"
"2024-10-01","45854","28653","22933","592474","249748","33710310","0.42153410951366643","134.98","56.9","3.82"
"2024-11-01","41681","22898","18045","471023","173505","22047242","0.368357808429737","127.07","46.81","3.72"
"2024-12-01","42981","25594","23983","461999","245087","33844282","0.5304924902434853","138.09","73.26","4.12"
