"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","6101","5150","4588","124281","41363","4238893","0.332818371271554","102.48","34.11","3.09"
"2024-02-01","6095","4349","3867","95290","44469","4716995","0.4666701647602057","106.07","49.5","3.04"
"2024-03-01","6191","4684","4259","109277","46214","4495687","0.42290692460444557","97.28","41.14","2.9"
"2024-04-01","6190","4704","4097","110666","42434","3874092","0.3834420689281261","91.3","35.01","2.74"
"2024-05-01","6493","4935","4775","122342","60597","5759728","0.4953082342940282","95.05","47.08","2.68"
"2024-06-01","6803","5560","5263","127780","65167","6349305","0.5099937392393176","97.43","49.69","2.69"
"2024-07-01","7106","6285","6124","152877","94667","9783759","0.6192363795731208","103.35","64","2.97"
"2024-08-01","7274","6471","6204","163282","101896","10630253","0.6240491909702233","104.32","65.1","2.91"
"2024-09-01","7385","6452","5545","151025","64490","6146718","0.4270153948021851","95.31","40.7","2.8"
"2024-10-01","7324","5905","5264","138834","61858","5851745","0.44555368281544866","94.6","42.15","2.62"
"2024-11-01","7305","5601","4806","128214","49554","4569524","0.3864944545837428","92.21","35.64","2.53"
"2024-12-01","7577","6532","6341","129786","69489","7002774","0.5354121399842818","100.78","53.96","2.92"
