"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","11608","3173","2535","73256","22242","1366652","0.3036201812820793","61.44","18.66","3.86"
"2024-02-01","11727","2980","2418","58888","22932","1414541","0.38941719875016984","61.68","24.02","3.83"
"2024-03-01","12075","2855","2164","65532","18208","1136189","0.27784898980650674","62.4","17.34","3.57"
"2024-04-01","12420","3340","3014","62858","29260","2122781","0.465493652359286","72.55","33.77","4.07"
"2024-05-01","12684","4188","3630","91547","38511","2967104","0.4206691644728937","77.05","32.41","3.71"
"2024-06-01","13369","5340","4655","101431","45561","3987814","0.44918220267965414","87.53","39.32","3.97"
"2024-07-01","14248","7968","7465","152731","92435","9720765","0.6052143965534175","105.16","63.65","4.68"
"2024-08-01","14508","8947","8334","211370","117921","12637729","0.5578890097932535","107.17","59.79","4.12"
"2024-09-01","15037","8611","5508","182376","56063","4660283","0.3074033864104926","83.13","25.55","3.74"
"2024-10-01","14656","5758","4203","117569","43972","3213022","0.3740101557383324","73.07","27.33","3.63"
"2024-11-01","14426","4859","3745","101507","34681","2198584","0.34166116622498943","63.39","21.66","3.48"
"2024-12-01","14679","4891","4097","90442","36899","2379133","0.407985228101988","64.48","26.31","3.53"
