"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","18729","15337","14616","338589","187574","28238950","0.5539872825165614","150.55","83.4","4.59"
"2024-02-01","20528","16161","13299","323116","137750","17367792","0.42631748350437615","126.08","53.75","4.02"
"2024-03-01","20107","14452","10572","282677","89915","10208887","0.31808389080116173","113.54","36.12","3.59"
"2024-04-01","19355","10266","5998","244191","45144","4322277","0.18487167831738271","95.74","17.7","3.24"
"2024-05-01","18170","6651","5192","141992","38041","3301686","0.2679094596878697","86.79","23.25","3.02"
"2024-06-01","18000","6670","5267","129086","41045","3538084","0.31796631702895745","86.2","27.41","3.08"
"2024-07-01","18444","6721","5443","147348","54666","4634916","0.37099926704129","84.79","31.46","3.11"
"2024-08-01","18585","6025","4523","127601","40916","3232851","0.32065579423358753","79.01","25.34","3.02"
"2024-09-01","18695","6234","5688","133474","53668","4517798","0.402085799481547","84.18","33.85","3.09"
"2024-10-01","19094","7006","5917","161890","55178","4832655","0.34083637037494596","87.58","29.85","3.07"
"2024-11-01","19388","8669","7937","184522","81669","8445903","0.44259763063482943","103.42","45.77","3.18"
"2024-12-01","22177","18344","17979","285311","173863","28768082","0.6093806407744531","165.46","100.83","4.35"
