"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","48256","44899","43233","1037299","671155","120526976","0.6470217362592656","179.58","116.19","3.02"
"2024-02-01","47755","44356","41689","946699","612801","105083742","0.6473028914153284","171.48","111","2.81"
"2024-03-01","49059","45524","43579","1038138","637660","108758943","0.6142343310812243","170.56","104.76","2.79"
"2024-04-01","47775","43435","38211","995838","470029","79358696","0.47199343668347665","168.84","79.69","2.89"
"2024-05-01","46064","38267","32125","873089","323954","49999138","0.3710435018652165","154.34","57.27","2.93"
"2024-06-01","46941","36723","33785","797075","338621","55194669","0.42482953297995796","163","69.25","3"
"2024-07-01","46182","36254","32133","841701","389084","68902566","0.4622591632895767","177.09","81.86","3.24"
"2024-08-01","45023","34667","30909","782815","359445","63718381","0.4591697910745195","177.27","81.4","3.04"
"2024-09-01","46267","36791","34221","784531","365983","61744439","0.4664990930887371","168.71","78.7","2.98"
"2024-10-01","47640","40105","38074","908730","453236","75964714","0.4987576067698876","167.61","83.59","2.84"
"2024-11-01","49711","43312","40869","973073","528145","90348185","0.5427598957118325","171.07","92.85","2.7"
"2024-12-01","53194","49426","47424","1057557","656750","125547524","0.62100671642285","191.16","118.71","3.09"
