"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","170860","156960","149928","3569607","2168956","524845672","0.6076175892752339","241.98","147.03","3.67"
"2024-02-01","163854","147026","130618","3157764","1668259","347193072","0.5283038884476484","208.12","109.95","3.35"
"2024-03-01","166360","153330","146949","3454063","1993064","440282705","0.5770201643687448","220.91","127.47","3.31"
"2024-04-01","165617","149727","136993","3476131","1780016","389978478","0.5120681585360276","219.09","112.19","3.34"
"2024-05-01","159566","137070","119287","3209328","1442081","287644926","0.44934048498626505","199.47","89.63","3.24"
"2024-06-01","160598","134477","126112","3072783","1532675","317844216","0.4987905101011038","207.38","103.44","3.35"
"2024-07-01","164325","137603","125822","3161433","1764486","387277979","0.5581285448718983","219.48","122.5","3.44"
"2024-08-01","158443","132617","117239","3043123","1603992","344131827","0.5270874690244199","214.55","113.09","3.29"
"2024-09-01","157144","136566","129017","3017959","1731238","373787604","0.5736453013443854","215.91","123.85","3.37"
"2024-10-01","165147","142880","134536","3505602","1962805","439081434","0.5599052602092308","223.7","125.25","3.25"
"2024-11-01","168125","146811","137244","3350256","1929656","436160115","0.5759727017875649","226.03","130.19","3.24"
"2024-12-01","179012","163738","158054","3586909","2247951","562480814","0.6267097938642994","250.22","156.81","3.62"
