"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","7354","4626","4165","109757","36110","1230323","0.3289995171150815","34.07","11.21","3.3"
"2024-02-01","7757","4775","4157","104139","33270","1152402","0.31947685305217066","34.64","11.07","3.45"
"2024-03-01","8004","5158","3739","97784","29693","1002692","0.3036590853309335","33.77","10.25","3.28"
"2024-04-01","8098","4365","3418","97520","27637","899794","0.2833982772764561","32.56","9.23","3.28"
"2024-05-01","8048","4307","3666","96215","31884","1008181","0.3313828405134335","31.62","10.48","3.01"
"2024-06-01","7981","4451","3893","95607","34153","1090149","0.35722279749390734","31.92","11.4","3.11"
"2024-07-01","8105","4674","4180","110148","45277","1506797","0.41105603370011257","33.28","13.68","3.11"
"2024-08-01","8443","4816","3927","109918","36532","1205404","0.33235684783202024","33","10.97","3.07"
"2024-09-01","8879","5122","4332","105828","36136","1166066","0.341459727104358","32.27","11.02","2.96"
"2024-10-01","9212","5159","4017","113664","34798","1103154","0.30614794481981983","31.7","9.71","2.97"
"2024-11-01","9416","4744","3989","103796","33991","1062303","0.32747890092103743","31.25","10.23","2.95"
"2024-12-01","9601","5579","5140","114629","46656","1600568","0.4070174214204084","34.31","13.96","3.13"
