"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","4135","915","608","19298","4336","255518","0.22468649600994922","58.93","13.24","4.43"
"2024-02-01","4127","731","516","12918","3959","242471","0.3064715900294163","61.25","18.77","4.76"
"2024-03-01","4227","703","538","14554","4273","246549","0.29359626219595986","57.7","16.94","5.03"
"2024-04-01","4399","687","527","13874","4230","249294","0.30488683869107686","58.93","17.97","4.62"
"2024-05-01","4569","716","527","14173","3895","242906","0.2748183165173217","62.36","17.14","4.21"
"2024-06-01","4674","723","531","13536","4389","266442","0.3242464539007092","60.71","19.68","4.39"
"2024-07-01","4674","803","642","15778","5267","344023","0.3338192419825073","65.32","21.8","4.78"
"2024-08-01","4655","809","624","17563","5945","379348","0.3384957011900017","63.81","21.6","4.23"
"2024-09-01","4523","753","498","14259","3475","186401","0.24370572971456625","53.64","13.07","4.17"
"2024-10-01","4684","714","587","14144","4452","242369","0.314762443438914","54.44","17.14","4.45"
"2024-11-01","4891","817","649","15970","4829","279732","0.3023794614902943","57.93","17.52","4.25"
"2024-12-01","5171","1029","900","19330","8405","561887","0.4348163476461459","66.85","29.07","4.92"
