"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","17439","14469","12645","385447","145001","18379999","0.37618920370375175","126.76","47.68","3.24"
"2024-02-01","17113","12832","11996","302764","171236","20694086","0.5655758280376795","120.85","68.35","3.32"
"2024-03-01","17703","15084","14050","349758","186881","23775278","0.5343151550500632","127.22","67.98","3.03"
"2024-04-01","18846","15514","13836","390250","190259","25154427","0.4875310698270339","132.21","64.46","3.05"
"2024-05-01","19745","17090","16623","442065","271711","39868534","0.6146403809394546","146.73","90.19","2.92"
"2024-06-01","20022","17873","16463","443084","247404","33688087","0.5583681649529209","136.17","76.03","3.04"
"2024-07-01","20622","18723","18066","478395","331819","44249785","0.6936088378850114","133.36","92.5","3.36"
"2024-08-01","20846","19033","17790","495299","341063","45204774","0.6886002192614966","132.54","91.27","3.29"
"2024-09-01","20934","18317","16083","463188","245769","31190382","0.5306031244332755","126.91","67.34","3.04"
"2024-10-01","20555","17145","16039","450275","262252","32786189","0.5824262950419188","125.02","72.81","2.97"
"2024-11-01","19902","16236","14294","418179","191062","22953828","0.4568904703488219","120.14","54.89","2.79"
"2024-12-01","20720","18250","17893","419054","268982","38481401","0.6418790895684089","143.06","91.83","3.13"
