"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","46085","29287","26151","679021","248275","52263320","0.3656367034303799","210.51","76.97","3.79"
"2024-02-01","45101","26615","21810","549275","231933","47090638","0.42225296982385874","203.04","85.73","3.75"
"2024-03-01","48261","30408","27660","627708","285559","67444829","0.4549233082898418","236.19","107.45","3.54"
"2024-04-01","49582","30610","22509","716982","206090","41684492","0.28744096783461787","202.26","58.14","3.43"
"2024-05-01","47007","25549","20158","579958","190791","33612079","0.3289738222423003","176.17","57.96","3.29"
"2024-06-01","47051","25173","21635","547291","211222","37435947","0.385940934530259","177.24","68.4","3.35"
"2024-07-01","47138","26157","22650","586272","255213","46381405","0.4353150073685934","181.74","79.11","3.45"
"2024-08-01","48347","26909","23459","614799","248095","42261392","0.4035383922224987","170.34","68.74","3.24"
"2024-09-01","48888","25642","19974","559236","177459","27036988","0.31732399201768124","152.36","48.35","3.27"
"2024-10-01","49322","23669","19685","532663","179749","28375898","0.33745351188274764","157.86","53.27","3.28"
"2024-11-01","49774","24896","22076","558838","209627","39020620","0.3751122865660531","186.14","69.82","3.26"
"2024-12-01","49292","31432","29243","598600","291799","66246756","0.48746909455395926","227.03","110.67","3.66"
