"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","4523","3264","2796","76996","24394","2234971","0.3168216530728869","91.62","29.03","2.92"
"2024-02-01","4496","2819","2480","58371","22897","2037601","0.3922667077829744","88.99","34.91","2.76"
"2024-03-01","4408","2933","2700","65737","26881","2350704","0.40891735248033834","87.45","35.76","2.71"
"2024-04-01","4560","3211","2988","72632","30462","2610016","0.4194019165106289","85.68","35.93","2.84"
"2024-05-01","5141","3982","3776","87878","42865","4241675","0.4877785111176859","98.95","48.27","2.76"
"2024-06-01","5623","4924","4816","109022","60033","6621495","0.5506503274568436","110.3","60.74","2.79"
"2024-07-01","5937","5506","5374","129690","86976","10271631","0.6706453851492019","118.1","79.2","2.79"
"2024-08-01","6009","5575","5247","133470","74359","8257813","0.5571214505132239","111.05","61.87","2.68"
"2024-09-01","5560","4724","3927","105303","42111","4038349","0.39990313666277316","95.9","38.35","2.9"
"2024-10-01","5183","3873","3350","88054","37397","3360166","0.4247052944783883","89.85","38.16","2.73"
"2024-11-01","4902","3439","2963","77342","31806","2805275","0.41123839569703396","88.2","36.27","2.69"
"2024-12-01","4694","3612","3423","83038","42397","4330119","0.5105734723861365","102.13","52.15","2.8"
