"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","11755","3968","3206","90530","27427","2492427","0.30296034463713684","90.87","27.53","4.62"
"2024-02-01","12024","3173","1969","54295","16567","1266899","0.3051293857629616","76.47","23.33","4.32"
"2024-03-01","12276","2749","2155","53298","19187","1534957","0.3599947465195692","80","28.8","4.63"
"2024-04-01","12572","2707","2113","55618","18874","1547582","0.3393505699593657","82","27.83","4.52"
"2024-05-01","12531","2663","2135","54752","19400","1539725","0.3543249561659848","79.37","28.12","4.31"
"2024-06-01","12782","2776","2249","55084","20830","1667279","0.3781497349502578","80.04","30.27","4.42"
"2024-07-01","13065","2892","2379","59829","22961","1859904","0.38377709806281235","81","31.09","4.35"
"2024-08-01","13263","3197","2580","64371","23720","1925534","0.36848891581612836","81.18","29.91","4.11"
"2024-09-01","13572","3187","2450","63460","20868","1543966","0.3288370627166719","73.99","24.33","3.99"
"2024-10-01","14025","3324","2552","63810","23610","1858606","0.3700047014574518","78.72","29.13","4.06"
"2024-11-01","14510","3466","2823","68740","25511","2007308","0.37112307244690135","78.68","29.2","3.99"
"2024-12-01","14729","5267","4785","86041","45744","4107454","0.5316535140223847","89.79","47.74","4.89"
