"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","82355","50930","43989","1263662","451771","81978441","0.3575093656373302","181.46","64.87","3.23"
"2024-02-01","82640","41992","36657","902394","424344","68861109","0.470242488314417","162.28","76.31","3.09"
"2024-03-01","84978","43649","38345","1038986","454039","78665141","0.43700203852602443","173.26","75.71","3.19"
"2024-04-01","86216","46448","42553","1058673","536268","92919778","0.5065473474812335","173.27","87.77","3.12"
"2024-05-01","88171","49471","43827","1165029","591268","99673619","0.5075135468730821","168.58","85.55","2.96"
"2024-06-01","89086","49853","44446","1167625","611975","111566447","0.5241194732897977","182.31","95.55","3"
"2024-07-01","90781","51333","47908","1268035","710105","134559765","0.5600042585575319","189.49","106.12","3.09"
"2024-08-01","93256","56143","51966","1344730","770864","141980421","0.5732481613409384","184.18","105.58","2.96"
"2024-09-01","95955","58576","50649","1350260","676049","119024645","0.5006806096603617","176.06","88.15","2.95"
"2024-10-01","97340","53399","45412","1322248","618130","107772832","0.46748416333395854","174.35","81.51","3.08"
"2024-11-01","100084","50272","42968","1183067","534665","88782857","0.4519312938320484","166.05","75.04","3.09"
"2024-12-01","102951","62921","60288","1279200","681676","117320453","0.5328924327704816","172.11","91.71","3.16"
