"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","4764","2107","1806","48755","14864","824135","0.30487129525176904","55.45","16.9","3.33"
"2024-02-01","4724","1982","1526","42756","14462","769751","0.3382449246889325","53.23","18","3.43"
"2024-03-01","4902","1801","1378","40213","12630","695230","0.31407753711486336","55.05","17.29","3.57"
"2024-04-01","4869","1974","1723","41576","13224","733686","0.31806811622089665","55.48","17.65","3.52"
"2024-05-01","4880","1912","1169","39143","9983","471243","0.25503921518534606","47.2","12.04","3.66"
"2024-06-01","4837","1476","1227","31081","10254","549086","0.3299121649882565","53.55","17.67","3.33"
"2024-07-01","5154","1562","1279","33816","10799","657965","0.3193458717766738","60.93","19.46","3.52"
"2024-08-01","5222","1666","1322","38670","10123","588919","0.26177915696922677","58.18","15.23","3.36"
"2024-09-01","5275","1615","1140","28658","8282","403094","0.28899434712820155","48.67","14.07","3.84"
"2024-10-01","5396","1806","1630","41731","12213","659087","0.2926601327550262","53.97","15.79","3.33"
"2024-11-01","5364","2338","2132","46960","19264","1120375","0.41022146507666096","58.16","23.86","3.07"
"2024-12-01","5284","2711","2354","55441","20680","1261610","0.3730091448566945","61.01","22.76","3.16"
