"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","98","88","80","2197","831","128238","0.3782430587164315","154.32","58.37","3.43"
"2024-02-01","91","80","72","1704","977","152677","0.5733568075117371","156.27","89.6","3.67"
"2024-03-01","94","85","80","1941","895","135555","0.4611025244719217","151.46","69.84","3.71"
"2024-04-01","99","93","84","2102","968","140211","0.4605137963843958","144.85","66.7","3.17"
"2024-05-01","100","94","86","2111","1199","162247","0.5679772619611558","135.32","76.86","3.18"
"2024-06-01","98","91","88","2179","1402","193409","0.643414410279945","137.95","88.76","2.99"
"2024-07-01","99","96","92","2116","1464","221676","0.6918714555765595","151.42","104.76","3.07"
"2024-08-01","100","96","94","2352","1771","252442","0.7529761904761905","142.54","107.33","3.08"
"2024-09-01","106","99","94","2414","1346","180796","0.5575807787903894","134.32","74.89","2.9"
"2024-10-01","104","97","94","2347","1239","167553","0.527907967618236","135.23","71.39","3.15"
"2024-11-01","97","89","72","1876","810","105426","0.43176972281449894","130.16","56.2","3.43"
"2024-12-01","96","85","82","1844","1054","145004","0.571583514099783","137.57","78.64","3.47"
