"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","1578","1301","1154","29034","12624","1637262","0.43480057863194876","129.69","56.39","4.23"
"2024-02-01","1491","1110","988","22988","12315","1626544","0.5357142857142857","132.08","70.76","3.68"
"2024-03-01","1537","1227","1147","26366","15192","2084685","0.5761966168550405","137.22","79.07","3.67"
"2024-04-01","1632","1331","1209","28146","16245","2251171","0.5771690471114901","138.58","79.98","3.57"
"2024-05-01","1628","1398","1357","33255","21039","3140020","0.6326567433468652","149.25","94.42","3.07"
"2024-06-01","1742","1552","1454","34300","21762","3233246","0.6344606413994169","148.57","94.26","3.25"
"2024-07-01","1735","1531","1404","35621","22802","3296342","0.6401280143735437","144.56","92.54","3.36"
"2024-08-01","1782","1505","1402","34964","22268","3282867","0.636883651756092","147.43","93.89","3.4"
"2024-09-01","1753","1507","1390","33432","20915","2995315","0.6255982292414454","143.21","89.59","3.48"
"2024-10-01","1693","1446","1353","33235","20706","3017246","0.6230179028132993","145.72","90.79","3.29"
"2024-11-01","1679","1404","1301","31339","17740","2464552","0.5660678387951116","138.93","78.64","3.42"
"2024-12-01","1758","1458","1388","33500","19313","2781279","0.5765074626865672","144.01","83.02","3.07"
