"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","208","114","101","2829","878","198263","0.3103570166136444","225.81","70.08","3.18"
"2024-02-01","212","101","89","2186","807","184165","0.36916742909423605","228.21","84.25","3.32"
"2024-03-01","237","173","166","3072","1589","453567","0.5172526041666666","285.44","147.65","3.46"
"2024-04-01","250","188","170","4126","1976","664600","0.47891420261754725","336.34","161.08","3.64"
"2024-05-01","316","235","232","4743","2525","1011172","0.5323634830276196","400.46","213.19","3.13"
"2024-06-01","284","226","176","5144","2121","810103","0.41232503888024885","381.94","157.49","3.18"
"2024-07-01","267","201","185","4246","2590","949789","0.6099858690532266","366.71","223.69","3.11"
"2024-08-01","262","198","182","4404","2509","1052734","0.5697093551316984","419.58","239.04","3.03"
"2024-09-01","283","228","222","4675","2813","1080279","0.601711229946524","384.03","231.08","3.07"
"2024-10-01","258","207","151","4761","1640","525202","0.3444654484352027","320.25","110.31","3.18"
"2024-11-01","244","147","116","3041","1029","247092","0.33837553436369616","240.13","81.25","3.19"
"2024-12-01","250","156","142","2558","1105","260950","0.43197810789679436","236.15","102.01","3.07"
