"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","9656","6544","5696","154445","56789","6213927","0.3676972384991421","109.42","40.23","4.54"
"2024-02-01","9764","6301","5662","126369","67344","7270697","0.5329155093416899","107.96","57.54","4.31"
"2024-03-01","10333","7310","6714","159647","93273","10666631","0.5842452410630955","114.36","66.81","4.46"
"2024-04-01","10374","8116","7809","186490","124669","15700180","0.6685023325647488","125.93","84.19","4.32"
"2024-05-01","10839","9097","8771","220795","157029","21489358","0.7111981702484205","136.85","97.33","4.33"
"2024-06-01","11758","10259","9853","244750","173336","26507348","0.7082165474974463","152.92","108.3","4.5"
"2024-07-01","12169","11087","10648","269436","207551","34130514","0.7703165130123666","164.44","126.67","4.91"
"2024-08-01","12438","11550","11371","288889","233084","39967669","0.8068289204504152","171.47","138.35","4.87"
"2024-09-01","12659","11710","10635","278612","191443","28983223","0.6871312075574634","151.39","104.03","4.61"
"2024-10-01","12070","10610","9908","254992","174382","23925814","0.6838724352136537","137.2","93.83","4.5"
"2024-11-01","11999","9688","8108","221386","106464","12234622","0.48089761773553885","114.92","55.26","4.39"
"2024-12-01","11809","8672","7693","180309","86029","9540577","0.47711983317527135","110.9","52.91","4.37"
