"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","15416","3789","2652","88181","21031","1949888","0.23849808915752826","92.71","22.11","4.42"
"2024-02-01","15933","2681","1677","46902","13638","1113832","0.2907765127286683","81.67","23.75","4.12"
"2024-03-01","16111","2264","1732","45490","14399","1161981","0.31653110573752474","80.7","25.54","4.35"
"2024-04-01","16477","2325","1850","47371","16479","1383963","0.3478710603533808","83.98","29.22","4.37"
"2024-05-01","16234","2395","1860","49557","16405","1339799","0.33103295195431526","81.67","27.04","4.05"
"2024-06-01","16209","2563","2115","52025","18467","1477450","0.354963959634791","80","28.4","3.73"
"2024-07-01","16312","2652","2066","57009","19424","1531974","0.34071813222473646","78.87","26.87","3.89"
"2024-08-01","16017","2580","2099","55870","20797","1615502","0.3722391265437623","77.68","28.92","3.87"
"2024-09-01","15853","2768","2167","57964","17302","1224049","0.29849561796977436","70.75","21.12","3.57"
"2024-10-01","16869","2851","2199","57511","20252","1467212","0.3521413294847942","72.45","25.51","3.71"
"2024-11-01","17580","3023","2545","63218","23784","1849466","0.37622196209940206","77.76","29.26","3.74"
"2024-12-01","18181","4891","4451","88841","49381","4725157","0.5558357064868698","95.69","53.19","4.69"
