"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","59531","47858","42954","1246061","459444","48252636","0.3687171013297102","105.02","38.72","3.3"
"2024-02-01","58314","42734","39346","995946","474755","44332871","0.4766874910888743","93.38","44.51","3.08"
"2024-03-01","60669","46412","42190","1106255","481029","44304147","0.4348265092587152","92.1","40.05","3"
"2024-04-01","65228","50307","46740","1178598","495364","47467055","0.42029937264444706","95.82","40.27","3.04"
"2024-05-01","70117","59760","58400","1493301","745746","79710418","0.4993942949211177","106.89","53.38","2.96"
"2024-06-01","73777","63645","61549","1499909","796777","87971836","0.531216893824892","110.41","58.65","3.13"
"2024-07-01","77830","71587","69231","1702435","1124706","138999260","0.6606454871992176","123.59","81.65","3.44"
"2024-08-01","78612","72754","70571","1821075","1203293","146585688","0.6607597161017531","121.82","80.49","3.31"
"2024-09-01","76373","69098","58321","1654977","773878","78541309","0.46760649845889096","101.49","47.46","3.09"
"2024-10-01","70331","57478","50546","1432251","664179","62332716","0.4637308684022563","93.85","43.52","2.89"
"2024-11-01","66891","52426","48099","1318498","555037","50027460","0.4209615790088419","90.13","37.94","2.73"
"2024-12-01","68400","58304","56163","1310856","688074","70557801","0.5249043373185155","102.54","53.83","3.04"
