"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","17090","9636","8472","229469","80927","10146785","0.35267073112272246","125.38","44.22","3.24"
"2024-02-01","17928","10417","8283","201826","72814","9183234","0.3607761140784636","126.12","45.5","3.12"
"2024-03-01","19686","10668","8844","255806","66179","7705216","0.2587077707325082","116.43","30.12","3.46"
"2024-04-01","21124","11573","9376","228673","70067","8907702","0.30640696540474827","127.13","38.95","3.21"
"2024-05-01","22431","12123","9140","250214","72594","8925500","0.2901276507309743","122.95","35.67","3.01"
"2024-06-01","24011","12789","11143","268893","86532","10910581","0.3218083029309056","126.09","40.58","3.14"
"2024-07-01","24998","13701","10978","300510","100441","12085871","0.33423513360620277","120.33","40.22","3.15"
"2024-08-01","26385","13355","11096","303408","92340","10606038","0.30434266729947795","114.86","34.96","3.03"
"2024-09-01","28017","13586","11007","286003","87650","9660409","0.30646531679737626","110.22","33.78","3.1"
"2024-10-01","29103","14150","11299","313263","93868","9827398","0.29964598436457546","104.69","31.37","3.01"
"2024-11-01","30657","16155","14898","373403","141947","15416401","0.380144240940753","108.61","41.29","3.11"
"2024-12-01","31552","17943","15208","430854","145545","15938216","0.3378058460638639","109.51","36.99","3"
