"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","8195","6503","5672","157675","43721","6232643","0.27728555573172664","142.55","39.53","3.12"
"2024-02-01","7775","5235","4694","107909","47230","6168692","0.43768360377725674","130.61","57.17","3.11"
"2024-03-01","8619","6301","5785","131814","51690","6421166","0.39214347489644497","124.22","48.71","2.92"
"2024-04-01","9580","7308","6546","160577","67114","8503451","0.4179552488837131","126.7","52.96","2.94"
"2024-05-01","10415","8830","8519","209660","110241","15144370","0.5258084517790709","137.38","72.23","2.83"
"2024-06-01","11490","10166","9775","240553","134238","19183782","0.5580391847118931","142.91","79.75","2.98"
"2024-07-01","12239","11471","11221","282659","207978","32528442","0.7357911830155771","156.4","115.08","3.26"
"2024-08-01","12427","11869","11673","299677","236361","37004167","0.7887191876587125","156.56","123.48","3.14"
"2024-09-01","12194","11456","10086","276884","146043","20447913","0.5274519293278052","140.01","73.85","2.91"
"2024-10-01","10347","9071","7889","213021","91259","11553099","0.42840377239802646","126.6","54.23","2.83"
"2024-11-01","9154","7251","6228","163656","54035","6295383","0.33017426797673166","116.51","38.47","2.88"
"2024-12-01","9336","7666","7393","143005","65904","8601745","0.46085101919513305","130.52","60.15","2.85"
