"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","7457","2875","2408","62663","21575","1622211","0.34430206022692816","75.19","25.89","4.8"
"2024-02-01","7620","2577","1946","47402","18372","1566731","0.3875785831821442","85.28","33.05","4.64"
"2024-03-01","7816","2243","1565","45448","13714","1428953","0.3017514522091181","104.2","31.44","4.62"
"2024-04-01","8045","2149","1806","40349","15891","1582611","0.39383875684651415","99.59","39.22","4.47"
"2024-05-01","8246","2741","2389","55808","21644","1810487","0.3878297018348624","83.65","32.44","4.28"
"2024-06-01","8448","3023","2237","56539","18377","1476160","0.32503227860414935","80.33","26.11","4.31"
"2024-07-01","8595","3099","2497","57317","24320","1952588","0.4243069246471379","80.29","34.07","4.59"
"2024-08-01","8731","3168","2663","62958","27217","2329121","0.43230407573302837","85.58","36.99","4.01"
"2024-09-01","8798","2925","2066","58198","19238","1404602","0.33056118766967935","73.01","24.13","4.26"
"2024-10-01","9138","2696","2234","54165","21659","1679264","0.39987076525431553","77.53","31","4.27"
"2024-11-01","9245","2908","2477","59165","25206","1961316","0.4260289022225978","77.81","33.15","4.33"
"2024-12-01","9549","3660","3309","64972","31594","2575427","0.4862710090500523","81.52","39.64","4.38"
