"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","15258","12894","10750","339363","120161","11522237","0.3540780815822585","95.89","33.95","2.65"
"2024-02-01","15341","12445","11859","292657","128531","13616786","0.4391864879363897","105.94","46.53","2.5"
"2024-03-01","15515","12534","10800","303364","136970","13823905","0.4515038040110231","100.93","45.57","2.62"
"2024-04-01","15601","12481","11782","313390","131030","13375317","0.4181052362870545","102.08","42.68","2.59"
"2024-05-01","15740","12479","10038","283725","116870","11745363","0.41191294387170674","100.5","41.4","2.72"
"2024-06-01","15818","11683","10892","279113","127157","13368463","0.45557534045350806","105.13","47.9","2.64"
"2024-07-01","15730","11472","10233","287044","127612","13574298","0.4445729574559998","106.37","47.29","2.51"
"2024-08-01","15920","11539","10416","286028","128403","13449384","0.44891758848784036","104.74","47.02","2.44"
"2024-09-01","16055","11464","9989","270822","108112","10567172","0.39919947419338164","97.74","39.02","2.55"
"2024-10-01","16152","11574","10647","283725","125215","12259300","0.4413252268922372","97.91","43.21","2.7"
"2024-11-01","15907","11692","10633","282158","135191","13429401","0.47913225923064384","99.34","47.6","2.62"
"2024-12-01","16435","12429","11631","301552","159354","16673447","0.5284461718045312","104.63","55.29","2.67"
